situation,thought,emotion,polarity
My sister is arranging an interview for me with her boss  . , I will be rejected  . ," ""Fearful",0
My sister is arranging an interview for me with her boss  . , it will be an uncomfortable experience  . ," ""Fearful",0
My sister is arranging an interview for me with her boss  . , the job is going to be really difficult . ," ""Fearful",0
My sister is arranging an interview for me with her boss  . , he may not hire me . ," ""Fearful",0
My sister is arranging an interview for me with her boss  . , he may not like me . ," ""Fearful",0
I speak with my boss and come to an understanding . , I will be fired . ," ""Fearful",0
I speak with my boss and come to an understanding . , I will be misunderstood . ," ""Fearful",0
I speak with my boss and come to an understanding . , he may not change his mind . ," ""Fearful",0
I speak with my boss and come to an understanding . , he/she may not like what I have to say . ," ""Fearful",0
"After arriving at my aunt's house, I realized that she had been planning her own trip . ", feel terrible since I think I will be blamed . ," ""Fearful",0
My boyfriend is picking me up from the airport . , I will miss my flight . ," ""Fearful",0
My boyfriend is picking me up from the airport . , he may be late . ," ""Fearful",0
My boyfriend is picking me up from the airport . , he may not show up . ," ""Fearful",0
My boss arrives to pick me up for a business trip . , I will be fired . ," ""Fearful",0
My boss arrives to pick me up for a business trip . , will have to work on the trip . ," ""Fearful",0
My boss arrives to pick me up for a business trip . , he will be angry with me for being late . ," ""Fearful",0
My boss arrives to pick me up for a business trip . , he will be angry with me . ," ""Fearful",0
I arrived at the airport to pick my sister up from her flight  . , she will not be on the plane . ," ""Fearful",0
I arrived at the airport to pick my sister up from her flight  . , I won't be able to find her . ," ""Fearful",0
I arrived at the airport to pick my sister up from her flight  . , her flight was cancelled . ," ""Fearful",0
I arrived at the airport to pick my sister up from her flight  . , she may have been in an accident  . ," ""Fearful",0
I arrived at her friend's house to pick her up for our date . , she may not be coming out . ," ""Fearful",0
I arrived at her friend's house to pick her up for our date . , she may not be there . ," ""Fearful",0
I needed to ask my boss for my co-worker's phone number . , he  will think I am unprofessional . ," ""Fearful",0
I needed to ask my boss for my co-worker's phone number . , I will appear to be unprofessional . ," ""Fearful",0
I needed to ask my boss for my co-worker's phone number . , he will think I am not competent . ," ""Fearful",0
I needed to ask my boss for my co-worker's phone number . , he will think I am bothering him . ," ""Fearful",0
I needed to ask my boss for my co-worker's phone number . , he may not give it to me . ," ""Fearful",0
I needed to ask my boss for my co-worker's phone number . , I will be bothering him/her . ," ""Fearful",0
I asked my boss for my co-worker's number so I could ask her about the project  . , my boss will think I am not capable of doing the project . ," ""Fearful",0
I asked my boss for my co-worker's number so I could ask her about the project  . , she will think I am not capable of doing it myself . ," ""Fearful",0
I asked my boss for my co-worker's number so I could ask her about the project  . , he will think I'm trying to date her . ," ""Fearful",0
I asked my boss for my co-worker's number so I could ask her about the project  . , he will think I am not doing my job . ," ""Fearful",0
I asked my boss for my co-worker's number so I could ask her about the project  . , he/she will think I'm hitting on her . ," ""Fearful",0
I asked my friend for my crush's number . , I will be rejected  . ," ""Fearful",0
I asked my friend for my crush's number . , he will say no . ," ""Fearful",0
I asked my friend for my crush's number . , she will say no . ," ""Fearful",0
I asked the cashier for a pen and she gave me a pencil instead  . , I will be made fun of . ," ""Fearful",0
A student asked the teacher for a pencil . , the teacher will be angry . ," ""Fearful",0
A student asked the teacher for a pencil . , the student will get in trouble . ," ""Fearful",0
A student asked the teacher for a pencil . , the student may not get the pencil . ," ""Fearful",0
I asked a person I didn't know for a pencil  . , they will think I am a troublemaker . ," ""Sad",0
I asked a person I didn't know for a pencil  . , she/he will think I am a beggar . ," ""Fearful",0
I asked a person I didn't know for a pencil  . , they will think I am a weirdo . ," ""Fearful",0
I asked a person I didn't know for a pencil  . , he/she may think I'm a bother . ," ""Sad",0
I asked my boss for a raise  . , he will say no . ," ""Fearful",0
I asked my boss for a raise  . , I will be rejected . ," ""Fearful",0
I asked my parents for money to travel  . , they will say no . ," ""Fearful",0
I asked my parents for money to travel  . , they will  not  allow me . ," ""Fearful",0
I asked my parents for money to travel  . , they will refuse . ," ""Fearful",0
I asked my parents for money to buy a car  . , they will refuse  . ," ""Fearful",0
I asked my parents for money to buy a car  . , they will say no . ," ""Fearful",0
I asked my parents for money to buy a car  . , they will not give me the money . ," ""Fearful",0
I asked my friend if she had seen my phone . , she will think I am accusing her of stealing it . ," ""Fearful",0
I asked the new guy if he had seen my coffee mug . , I will be accused of being a klutz . ," ""Fearful",0
I asked the new guy if he had seen my coffee mug . , he will think I am weird . ," ""fearful",0
I asked the new guy if he had seen my coffee mug . , he won't know what I'm talking about . ," ""Sad",0
I asked the new guy if he had seen my coffee mug . , he is going to think I am stupid . ," ""Fearful",0
I ask my friend if she'd seen my phone charger earlier today  . , I will be accused of losing it . ," ""Fearful",0
I ask my friend if she'd seen my phone charger earlier today  . , she will think I'm accusing her of taking it . ," ""Fearful",0
I ask my friend if she'd seen my phone charger earlier today  . , she may have lost it . ," ""Fearful",0
I asked my teacher if I could be absent tomorrow . , she will say no . ," ""Fearful",0
I asked my teacher if I could be absent tomorrow . , she will judge me  . ," ""Fearful",0
I asked my teacher if I could be absent tomorrow . , he will say no . ," ""Fearful",0
I ask my boss if I can have the day off tomorrow . , she will say no . ," ""Fearful",0
I ask my boss if I can have the day off tomorrow . , he will say no . ," ""Fearful",0
I asked my best friend if she would be interested in going on a trip to Europe with me . , she will say no . ," ""Fearful",0
I asked my best friend if she would be interested in going on a trip to Europe with me . , she may not want to go . ," ""Fearful",0
I asked my friend if he liked the new restaurant . , he will not like it . ," ""Fearful",0
I asked my boss if he liked the restaurant I took him to . , he will say no . ," ""Fearful",0
I asked my boss if he liked the restaurant I took him to . , he will be mad . ," ""Fearful",0
I asked my boss if he liked the restaurant I took him to . , he will think I am a bad choice maker . ," ""Fearful",0
I asked my brother if he liked the new phone I got him  . , he will not like it . ," ""Sad",0
I asked my brother if he liked the new phone I got him  . , he will say no . ," ""Fearful",0
"I interview for a job, and the interviewer asks me some questions . ", I will  not  be able to answer  . ," ""Fearful",0
"I interview for a job, and the interviewer asks me some questions . ", I will not  be selected . ," ""Fearful",0
"I interview for a job, and the interviewer asks me some questions . ", I will not get the job . ," ""Fearful",0
"I interview for a job, and the interviewer asks me some questions . ", I will never get the job . ," ""Fearful",0
The interviewer asked me a ton of questions about my experience  . , I will fail . ," ""Fearful",0
The interviewer asked me a ton of questions about my experience  . , I will not get the job . ," ""Fearful",0
The interviewer asked me a ton of questions about my experience  . , I will not be selected . ," ""Fearful",0
The interviewer asked me some questions about my qualifications  . , I will not be able to answer . ," ""Fearful",0
The interviewer asked me some questions about my qualifications  . , I'm not good enough  . ," ""Sad",0
I asked my teacher a question in class . , my question is stupid . ," ""Sad",0
I asked my teacher a question in class . , my question will be considered stupid . ," ""Fearful",0
I asked my teacher a question in class . , she will judge me . ," ""Fearful",0
I ask my boss a question about a work assignment . , she will think I am lazy . ," ""Fearful",0
I ask my boss a question about a work assignment . , he will think I am not competent  . ," ""Fearful",0
I ask my boss a question about a work assignment . , he will think I am not capable . ," ""Fearful",0
I ask my boss a question about a work assignment . , he may think I am stupid . ," ""Fearful",0
I ask my boss a question about a work assignment . , he may think I'm incompetent . ," ""Fearful",0
I asked my brother for advice on what to pack for my trip to the beach  . , he will tell me to bring everything . ," ""Fearful",0
My date and I are getting to know each other better  . , I will be rejected  . ," ""Fearful",0
My date and I are getting to know each other better  . , he/she is losing interest in me . ," ""Sad",0
I asked my friend what she thought about my outfit . , she will think it looks bad  . ," ""Fearful",0
I asked my friend what she thought about my outfit . , I will be judged . ," ""Fearful",0
I asked my friend what she thought about my outfit . , she is going to say that I look terrible . ," ""Fearful",0
I asked my friend what she thought about my outfit . , she may not tell me the truth . ," ""Fearful",0
I asked my friend what she thought about my outfit . , she will judge me . ," ""Fearful",0
I ask my boss for his opinion on a work-related issue  . , he will think I'm trying to challenge his authority . ," ""Fearful",0
I ask my boss for his opinion on a work-related issue  . , he will say no . ," ""Fearful",0
I ask my boss for his opinion on a work-related issue  . , he will think I'm incompetent  . ," ""Fearful",0
I ask my boss for his opinion on a work-related issue  . , he will give me a negative response . ," ""Fearful",0
I asked my friends what they thought of my new haircut  . , they would laugh at me . ," ""Fearful",0
I asked my friends what they thought of my new haircut  . , they will all  laugh at me . ," ""Fearful",0
I asked my friends what they thought of my new haircut  . , it may look terrible . ," ""Sad",0
I asked my friends what they thought of my new haircut  . , it may not be what they want me to hear . ," ""Fearful",0
My boss asked me what I thought of his new business idea . , will have to lie to him . ," ""Fearful",0
My boss asked me what I thought of his new business idea . , he will not like my honest opinion . ," ""Fearful",0
My boss asked me what I thought of his new business idea . , he will not like my answer . ," ""Fearful",0
I asked her what she thought about the proposal  . , she will say no . ," ""Fearful",0
I asked her what she thought about the proposal  . , she will think I am a fool . ," ""Fearful",0
I asked my friend to accompany me to the market . , she will refuse . ," ""Fearful",0
I asked my friend to accompany me to the market . , she may not want to go . ," ""Sad",0
I asked my boss to accompany me to my friend's wedding . , I will be rejected . ," ""Fearful",0
My boss has asked me to go on a business trip to China with him . , I won't be able to handle the pressure . ," ""Fearful",0
My boss has asked me to go on a business trip to China with him . , I will have to work long hours . ," ""Fearful",0
I asked my best friend to come with me to the movies  . , he may not want to go with me . ," ""Sad",0
I asked my friend to call me when she gets home from work . , she will forget . ," ""Fearful",0
I asked my friend to call me when she gets home from work . , she may not call me . ," ""Sad",0
I ask my boss to call off the meeting because I'm not feeling well  . , he will think I'm not dedicated to my job . ," ""Fearful",0
I called my cable company to ask why my bill was so high  . , the customer service representative will give me a hard time . ," ""Fearful",0
I have asked my aunt to call me when she arrives in Paris  . , she will forget . ," ""Fearful",0
My boss asked me to have dinner with him . , he will fire me . ," ""Fearful",0
My boss asked me to have dinner with him . , I will be fired . ," ""Fearful",0
My boss asked me to have dinner with him . , he is going to ask me to do something I don't want to do . ," ""Fearful",0
I asked my boss to have lunch with me to discuss the upcoming project . , she will say no . ," ""Fearful",0
I asked my boss to have lunch with me to discuss the upcoming project . , she will refuse . ," ""Fearful",0
I asked my boss to have lunch with me to discuss the upcoming project . , he will say no . ," ""Fearful",0
My boss asked me to have dinner with him to discuss my workload . , he will fire me . ," ""Fearful",0
My boss asked me to have dinner with him to discuss my workload . , he is going to ask me to quit . ," ""Fearful",0
I asked my date to dinner  . , she will say no  . ," ""Fearful",0
I asked my date to dinner  . , I will be rejected  . ," ""Fearful",0
I asked my date to dinner  . , he/she may not like me . ," ""Sad",0
My coworker is always advancing toward me and trying to engage in small talk . , my personal space is being invaded . ," ""Angry",0
My coworker is always advancing toward me and trying to engage in small talk . , he is going to ask me out on a date . ," ""Angry",0
The army advances towards the town . , the town will be captured  . ," ""Fearful",0
I advise my boss to take a vacation . , he will not approve it . ," ""Fearful",0
The doctor advised me to take a few days off work . , I will not have enough money to live . ," ""Sad",0
I take my little sister to the park to afford her some pleasurable time outside  . , people will stare and make fun of her . ," ""Angry",0
My best friend agreed to go with me to the movies . , she will not have a good time . ," ""Sad",0
My best friend agreed to go with me to the movies . , the tickets are too expensive . ," ""Sad",0
My boss agreed to take me to the conference . , I won't be able to go . ," ""Sad",0
My boss agreed to take me to the conference . , I will have to pay . ," ""Angry",0
I agreed to take my little sister to the mall  . , I will be late for my date . ," ""Angry",0
I agreed to take my little sister to the mall  . , she will never stop asking me to buy her things . ," ""Angry",0
I agreed to take my little sister to the mall  . , she will never leave me alone . ," ""Angry",0
I allow my boss to access my computer . , my privacy will be invaded . ," ""Angry",0
I allow my boss to access my computer . , he will steal my ideas . ," ""Angry",0
The principal allowed the seniors access to the roof  . , they will jump off . ," ""Fearful",0
My boss is not allowing me access to the company credit card . , I will have to pay for the trip out of my own pocket . ," ""Angry",0
My boss is not allowing me access to the company credit card . , I will not get reimbursed for work expenses . ," ""Angry",0
My boss is not allowing me access to the company credit card . , I will have to pay for work expenses out of my own pocket . ," ""Angry",0
My boss is not allowing me access to the company credit card . , I will never get a raise . ," ""Angry",0
My dad allowed me to keep the dog . , I will have to clean up the mess . ," ""Angry",0
My dad allowed me to keep the dog . , I will be responsible for  all the mess he will make . ," ""Fearful",0
My boss allows me to keep the company dog in my office . , I will have to take her outside every hour . ," ""Angry",0
My boss allows me to keep my dog in my office  . , I may have to get rid of my dog . ," ""Angry",0
"After the divorce, I allowed my ex to keep the dog  . ", I will never see my dog again . ," ""Sad",0
My boss always tells me that I need to improve my writing skills . , my writing skills are not good enough . ," ""Angry",0
My dad always told me to never give up on my dreams  . , I will not be able to achieve them . ," ""Sad",0
My dad always told me that I should travel while I'm young . , he wanted me to travel with him . ," ""Angry",0
I always told my friends that I would never get married . , I will be alone forever . ," ""Sad",0
I Amend the phone service contract . , the customer service will be terrible . ," ""Angry",0
I Amend the phone service contract . , the phone bill will be extremely high . ," ""Angry",0
I try to amend an act that my boss put into place that I do not agree with . , he will see me as a problem . ," ""Angry",0
I try to amend an act that my boss put into place that I do not agree with . , he will not listen to me  . ," ""Angry",0
I try to amend an act that my boss put into place that I do not agree with . , he will think I am undermining him . ," ""Angry",0
I try to amend an act that my boss put into place that I do not agree with . , he will get mad and fire me . ," ""Angry",0
I answer my boss's question about the progress of my project . , my response is not good enough . ," ""Sad",0
I answer my boss's question about the progress of my project . , I will never finish it on time . ," ""Fearful",0
I was on Quora the other day and answered a few questions on programming  . , I'm not good enough . ," ""Sad",0
The teacher answered the student's question . , I will be laughed at . ," ""Angry",0
The teacher answered the student's question . , the answer was wrong . ," ""Angry",0
The teacher answered the student's question . , I will never get the answer to my question . ," ""Sad",0
I appear on stage with my band mates to the screaming of the audience  . , my guitar will not work  . ," ""Angry",0
One of my friends from college appeared in a picture with Beyonce  . , my friend is more popular than me . ," ""Angry",0
One of my friends from college appeared in a picture with Beyonce  . , I will never be as successful as her  . ," ""Sad",0
One of my friends from college appeared in a picture with Beyonce  . , he will never speak to me again . ," ""Sad",0
I arranged an interview for my friend with the CEO . , it will be a waste of time . ," ""Angry",0
"I'm the head of HR, and I arranged an interview for a candidate . ", the person I'm interviewing may not be the best candidate for the job . ," ""Sad",0
"I'm the head of HR, and I arranged an interview for a candidate . ", the interview went terribly . ," ""Angry",0
My sister is arranging an interview for me with her boss  . , it will be an uncomfortable surprise . ," ""Fearful",0
I speak with my boss and come to an understanding . , I will be late for my dentist appointment . ," ""Angry",0
I speak with my boss and come to an understanding . , he will try to take advantage of me . ," ""Angry",0
"After a long time of research, I finally arrived at an understanding of the situation . ", my work was for nothing . ," ""Angry",0
"After a long time of research, I finally arrived at an understanding of the situation . ", I should have started this much sooner . ," ""Angry",0
"After arriving at my aunt's house, I realized that she had been planning her own trip . ", I will be blamed . ," ""Fearful",0
"After arriving at my aunt's house, I realized that she had been planning her own trip . ", I should have planned my own trip . ," ""Angry",0
My boyfriend is picking me up from the airport . , he will be late  . ," ""Angry",0
I asked my boss for my co-worker's number so I could ask her about the project  . , I will be misunderstood . ," ""Fearful",0
I asked my friend for my crush's number . , she will give me a fake number . ," ""Angry",0
I asked the cashier for a pen and she gave me a pencil instead  . , I will have to buy a pen . ," ""Angry",0
I asked the cashier for a pen and she gave me a pencil instead  . , she was trying to make fun of me . ," ""Angry",0
I asked the cashier for a pen and she gave me a pencil instead  . , she didn't understand what I said . ," ""Angry",0
A student asked the teacher for a pencil . , he will not get one . ," ""Sad",0
My parents asked me for money to help pay the bills . , they are not responsible for their own finances . ," ""Angry",0
My parents asked me for money to help pay the bills . , I will never be able to save up any money . ," ""Sad",0
My parents asked me for money to help pay the bills . , I will never get my money back . ," ""Angry",0
I asked my parents for money to buy a car  . , they will never give me money . ," ""Angry",0
I asked my friend if she had seen my phone . , she will say no . ," ""Sad",0
I asked my friend if she had seen my phone . , she stole it from me . ," ""Angry",0
I asked the new guy if he had seen my coffee mug . , he will think I am accusing him of stealing it . ," ""Angry",0
I asked the new guy if he had seen my coffee mug . , he doesn't want to talk to me . ," ""Sad",0
I ask my friend if she'd seen my phone charger earlier today  . , she took it without asking . ," ""Angry",0
I ask my friend if she'd seen my phone charger earlier today  . , she stole it from me . ," ""Angry",0
I asked my boss if he liked the restaurant I took him to . , he didn't have a good time . ," ""Sad",0
I asked my teacher a question in class . , she will think I am stupid . ," ""Angry",0
I asked my teacher a question in class . , he won't answer it . ," ""Angry",0
I asked my teacher a question in class . , she didn't hear me . ," ""Angry",0
I asked my brother for advice on what to pack for my trip to the beach  . , he will make fun of me . ," ""Angry",0
I asked my brother for advice on what to pack for my trip to the beach  . , he will not give me good advice . ," ""Sad",0
I ask my boss for his opinion on a work-related issue  . , he'll think I'm stupid . ," ""Angry",0
My boss asked me what I thought of his new business idea . , he will be offended if I give him an honest answer  . ," ""Fearful",0
My boss asked me what I thought of his new business idea . , it is a terrible idea . ," ""Angry",0
My boss has asked me to go on a business trip to China with him . , I will have to work all the time and won't get to see any sights . ," ""Angry",0
I asked my friend to call me when she gets home from work . , she will never call me . ," ""Angry",0
I ask my boss to call off the meeting because I'm not feeling well  . , he will think I'm faking it . ," ""Angry",0
I ask my boss to call off the meeting because I'm not feeling well  . , he will think I'm lying . ," ""Angry",0
I ask my boss to call off the meeting because I'm not feeling well  . , he will think I'm slacking off . ," ""Angry",0
I called my cable company to ask why my bill was so high  . , they will  accuse me of not paying my bill on time . ," ""Angry",0
I called my cable company to ask why my bill was so high  . , they will give me a hard time . ," ""Angry",0
I called my cable company to ask why my bill was so high  . , they will tell me it's my mistake . ," ""Angry",0
I called my cable company to ask why my bill was so high  . , they will give me a higher bill . ," ""Angry",0
I asked the cashier for a pen and she gave me a pencil instead  . , people will think I am stupid . ," ""Sad",0
I try to amend an act that my boss put into place that I do not agree with . , he may think I am trying to undermine his authority . ," ""Fearful",0
The interviewer asked me some questions about my qualifications  . , I will not be selected . ," ""Sad",0
My boss allows me to keep the company dog in my office . , he or she will never want me to get rid of the dog . ," ""Sad",0
I arrived at her friend's house to pick her up for our date . , she would have stood me up . ," ""Angry",0
My dad allowed me to keep the dog . , I have to walk him every day  . ," ""Angry",0
The professor asked me to explain the experiment . , I may have done it wrong . ," ""Fearful",0
The professor asked me to explain the experiment . , I would not be able to explain it . ," ""Fearful",0
I asked my boss to explain the reasoning behind the new company policy . , I will be told  I am not working hard enough . ," ""Sad",0
I asked my boss to explain the reasoning behind the new company policy . , I will be seen as uncooperative . ," ""Sad",0
I asked my boss to explain the reasoning behind the new company policy . , I will be seen as confrontational . ," ""Fearful",0
I asked my boss to explain the reasoning behind the new company policy . , he may think I am questioning his authority . ," ""Fearful",0
I asked my boss to explain the reasoning behind the new company policy . , he will think I am challenging his authority . ," ""Fearful",0
I ask my boss to forgive me for being late to our meeting . , I will be criticized . ," ""Sad",0
I ask my boss to forgive me for being late to our meeting . , she will not accept my apology . ," ""Fearful",0
I ask my boss to forgive me for being late to our meeting . , I will be fired . ," ""Fearful",0
I ask my boss to forgive me for being late to our meeting . , he may not forgive me . ," ""Sad",0
I ask my boss to forgive me for being late to our meeting . , he will say no . ," ""Fearful",0
I asked my girlfriend to forgive me for forgetting our anniversary  . , she will break up with me . ," ""Sad",0
I asked my girlfriend to forgive me for forgetting our anniversary  . , I will be rejected  . ," ""Fearful",0
I asked my girlfriend to forgive me for forgetting our anniversary  . , she would say no . ," ""Fearful",0
I asked my girlfriend to forgive me for forgetting our anniversary  . , she may never forgive me . ," ""Fearful",0
I asked my girlfriend to forgive me for forgetting our anniversary  . , I will never be able to make it up to her . ," ""Sad",0
I am asking my brother to forgive me for taking his car without asking . , I will be rejected . ," ""Fearful",0
I am asking my brother to forgive me for taking his car without asking . , he will not forgive me . ," ""Sad",0
I am asking my brother to forgive me for taking his car without asking . , I will be scolded . ," ""Fearful",0
I am asking my brother to forgive me for taking his car without asking . , he will never speak to me again . ," ""Sad",0
My best friend caught me cheating and I asked him to forgive me  . , he will hate me and never want to speak with me again . ," ""Fearful",0
My best friend caught me cheating and I asked him to forgive me  . , he will not forgive me . ," ""Sad",0
My best friend caught me cheating and I asked him to forgive me  . , he would never trust me again . ," ""Sad",0
My best friend caught me cheating and I asked him to forgive me  . , he won't . ," ""Sad",0
The cashier asks me for my ID . , I will be rejected . ," ""Fearful",0
The cashier asks me for my ID . , I will be outted as a minor . ," ""Fearful",0
The cashier asks me for my ID . , I  cannot buy alcohol . ," ""Angry",0
The cashier asks me for my ID . , I look like I'm underage . ," ""Fearful",0
My boss asked me to give a presentation to the board of directors . , I will make a fool of myself  . ," ""Fearful",0
My boss asked me to give a presentation to the board of directors . , I will freeze on stage . ," ""Fearful",0
My boss asked me to give a presentation to the board of directors . , I will not do well . ," ""Fearful",0
My boss asked me to give a presentation to the board of directors . , I will not be able to do it . ," ""Fearful",0
My boss asked me to give a presentation to the board of directors . , I will bomb the presentation . ," ""Fearful",0
I asked the cashier for directions to the nearest post office . , I will be ignored . ," ""Fearful",0
I asked the cashier for directions to the nearest post office . , I will be lost . ," ""Fearful",0
I asked the cashier for directions to the nearest post office . , she will give me the wrong directions . ," ""Angry",0
I asked the cashier for directions to the nearest post office . , she thought I was lost . ," ""Angry",0
I asked the cashier for directions to the nearest post office . , I will never find it . ," ""Fearful",0
I am asking my friends to give me a ride to the airport . , I will be a burden to them . ," ""Sad",0
I am asking my friends to give me a ride to the airport . , I will be rejected . ," ""Fearful",0
I am asking my friends to give me a ride to the airport . , they will refuse . ," ""Angry",0
I am asking my friends to give me a ride to the airport . , they may not want to . ," ""Fearful",0
I am asking my friends to give me a ride to the airport . , they may not have time to do it . ," ""Fearful",0
I ask my friend to join my book club . , she will say no  . ," ""Sad",0
I ask my friend to join my book club . , I will be rejected . ," ""Fearful",0
I ask my friend to join my book club . , she will think I am asking her to do something that is not worth her time . ," ""Sad",0
I ask my friend to join my book club . , she may not like to read . ," ""Sad",0
I ask my friend to join my book club . , she may not be interested . ," ""Sad",0
"I asked my friend to come study with me at the library, but he wanted to go play soccer with his friends instead . ", he is not a true friend . ," ""Angry",0
"I asked my friend to come study with me at the library, but he wanted to go play soccer with his friends instead . ", he doesn't value our friendship . ," ""Sad",0
"I asked my friend to come study with me at the library, but he wanted to go play soccer with his friends instead . ", I will have to study by myself . ," ""Sad",0
"I asked my friend to come study with me at the library, but he wanted to go play soccer with his friends instead . ", he doesn't want to spend time with me . ," ""Sad",0
I asked my sister-in-law if she wanted to join my book club . , she will think I'm judging her reading habits . ," ""Fearful",0
I asked my sister-in-law if she wanted to join my book club . , she might say no . ," ""Fearful",0
I asked my boss if she would join my book club  . , she will think I am unprofessional . ," ""Fearful",0
I asked my boss if she would join my book club  . , I  will be laughed at  . ," ""Fearful",0
I asked my boss if she would join my book club  . , she will think I am unprofessional . ," ""Angry",0
I asked my boss if she would join my book club  . , she will judge me for my reading choices . ," ""Fearful",0
I asked my boss if she would join my book club  . , she will say no . ," ""Sad",0
I asked my friend to let me borrow his car . , I will scratch it . ," ""Fearful",0
I asked my friend to let me borrow his car . , he would say no . ," ""Fearful",0
I asked my friend to let me borrow his car . , he may not let me borrow it . ," ""Fearful",0
I ask my boss to let me leave early so I can attend my child's soccer game . , I will be rejected . ," ""Fearful",0
I ask my boss to let me leave early so I can attend my child's soccer game . , my boss will refuse . ," ""Fearful",0
I ask my boss to let me leave early so I can attend my child's soccer game . , he will say no . ," ""Fearful",0
I ask my boss to let me leave early so I can attend my child's soccer game . , he will think I am not dedicated to my job . ," ""Sad",0
My parents asked me to let them know as soon as I book my flight for my trip to Japan . , I will disappoint them . ," ""Sad",0
My parents asked me to let them know as soon as I book my flight for my trip to Japan . , I will forget to do it . ," ""Fearful",0
My parents asked me to let them know as soon as I book my flight for my trip to Japan . , I will forget to do so and they will be worried . ," ""Fearful",0
My parents asked me to let them know as soon as I book my flight for my trip to Japan . , I may not be able to go on the trip . ," ""Sad",0
My parents asked me to let them know as soon as I book my flight for my trip to Japan . , they are going to ask me to change my flight . ," ""Fearful",0
My parents asked me to let them know as soon as I book my flight for my trip to Japan . , they may not let me go . ," ""Fearful",0
My boss asked me to make a report  . , I will get fired . ," ""Fearful",0
My boss asked me to make a report  . , it's too difficult for me . ," ""Sad",0
My boss asked me to make a report  . , I will be overload with work . ," ""Angry",0
My boss asked me to make a report  . , it will take forever . ," ""Angry",0
My boss asked me to make a report  . , I will never finish it . ," ""Fearful",0
My boss asked me to make a report  . , it will take me a long time to make . ," ""Sad",0
My boss asks me to make a decision that will greatly affect the company . , I will make the wrong decision . ," ""Fearful",0
I asked the waiter to make me a vodka tonic  . , I will get kicked out of the bar . ," ""Angry",0
I asked the waiter to make me a vodka tonic  . , I will be judged . ," ""Fearful",0
I asked the waiter to make me a vodka tonic  . , he will think I'm an alcoholic . ," ""Fearful",0
I asked the waiter to make me a vodka tonic  . , he will make me a weak drink . ," ""Angry",0
I asked the waiter to make me a vodka tonic  . , he may have forgotten . ," ""Fearful",0
I asked the waiter to make me a vodka tonic  . , I will be kicked out because I am too young . ," ""Fearful",0
I asked my parents to make a big batch of chili for the party . , they will refuse . ," ""Sad",0
I asked my parents to make a big batch of chili for the party . , they will say no . ," ""Angry",0
I asked my parents to make a big batch of chili for the party . , I will be laughed at . ," ""Fearful",0
I asked my parents to make a big batch of chili for the party . , they will forget to add the spice . ," ""Fearful",0
I asked my parents to make a big batch of chili for the party . , they will think I'm too lazy to cook . ," ""Angry",0
My friends ask me to marry her . , I will get divorce  . ," ""Sad",0
My friends ask me to marry her . , I will say no . ," ""Sad",0
My friends ask me to marry her . , the engagement would be too short . ," ""Fearful",0
My friends ask me to marry her . , my friends set me up . ," ""Angry",0
My friends ask me to marry her . , I will have to spend the rest of my life with her . ," ""Fearful",0
My boss asks me to marry him . , I will say no . ," ""Fearful",0
My boss asks me to marry him . , he is only doing it for a green card . ," ""Angry",0
My boss asks me to marry him . , he is just trying to control me . ," ""Angry",0
I was at my friend's wedding and the officiant asked if anyone had any objections to the marriage  . , I will be embarrassed if I said anything . ," ""Fearful",0
I was at my friend's wedding and the officiant asked if anyone had any objections to the marriage  . , I will be the only one who objects  . ," ""Fearful",0
I was at my friend's wedding and the officiant asked if anyone had any objections to the marriage  . , I will have to speak up and object  . ," ""Fearful",0
I was at my friend's wedding and the officiant asked if anyone had any objections to the marriage  . , people will think I was objecting to the marriage . ," ""Fearful",0
My boyfriend asked me to marry him on our trip to Paris . , I will say no . ," ""Sad",0
My boyfriend asked me to marry him on our trip to Paris . , I will not be able to say no  . ," ""Sad",0
My boyfriend asked me to marry him on our trip to Paris . , he is just doing it for the sake of doing it . ," ""Sad",0
My grandparents ask me if I am going to marry my high school sweetheart  . , they will  be  disappointed  if  I  say  no . ," ""Sad",0
My grandparents ask me if I am going to marry my high school sweetheart  . , they will not approve of my current relationship status . ," ""Fearful",0
My grandparents ask me if I am going to marry my high school sweetheart  . , I will have to break up with him . ," ""Sad",0
My grandparents ask me if I am going to marry my high school sweetheart  . , I will never get married . ," ""Sad",0
My friends asked me to come play soccer with them . , I will be the only one not playing well . ," ""Fearful",0
My friends asked me to come play soccer with them . , I will be terrible at it . ," ""Fearful",0
My friends asked me to come play soccer with them . , I will be too tired . ," ""Fearful",0
My friends asked me to come play soccer with them . , I'm not good at it . ," ""Fearful",0
My friends asked me to come play soccer with them . , I will never be good at it . ," ""Sad",0
My friends asked me to come play soccer with them . , I will not be able to play well . ," ""Fearful",0
I ask my boss if he wants to play tennis with me . , he will think I am not working enough . ," ""Angry",0
I ask my boss if he wants to play tennis with me . , he will say no . ," ""Fearful",0
I asked my roommate if he wanted to play video games with me  . , he will say no . ," ""Sad",0
I asked my friends if they wanted to play soccer with me . , they will say no . ," ""Fearful",0
I asked my friends if they wanted to play soccer with me . , they will say no because they are busy . ," ""Sad",0
My friends ask me to play soccer with them every Saturday morning . , I will not be able to do well . ," ""Fearful",0
My friends ask me to play soccer with them every Saturday morning . , I will not be able to score any goals . ," ""Fearful",0
My friends ask me to play soccer with them every Saturday morning . , I will be too tired . ," ""Fearful",0
