round_number	emotion	text_id	timestamp	prolific_id	anger	boredom	disgust	fear	guilt	joy	pride	relief	sadness	shame	surprise	trust	generated_text	hidden_emo_text	event_duration	emotion_duration	intensity	confidence	suddenness	familiarity	predict_event	pleasantness	unpleasantness	goal_relevance	chance_responsblt	self_responsblt	other_responsblt	predict_conseq	goal_support	urgency	self_control	other_control	chance_control	accept_conseq	standards	social_norms	attention	not_consider	effort	previous_participation	age	gender	education	ethnicity	extravert	critical	dependable	anxious	open	quiet	sympathetic	disorganized	calm	conventional	did_you_lie?	original_demographics
round-4	fear	4519	2021/09/20 1:43:27 am EET	6be6bcc85667d1a83ff0624211afaca2	1	2	1	1	1	1	1	1	1	1	1	1	I went for a chest x-ray	I went for a chest x-ray	weeks	weeks	4	4	4	1	1	2	4	5	1	5	1	2	2	2	1	1	5	2	2	3	2	1	2	No, I participated before and answered the next set of questions.	63	Male	High school	North American	1.0	4.0	5.0	5.0	3.0	5.0	5.0	6.0	3.0	4.0	--	COPIED FROM REJECTED: text id 41931
round-4	fear	4520	2021/09/20 12:27:39 am EET	95f6ba82430a5b44af213101370eadee	1	3	1	1	1	1	1	1	1	1	1	1	My child was rushed to hospital after a freak accident	My child was rushed to hospital after a freak accident	days	weeks	5	5	5	1	1	1	5	5	1	2	3	1	1	5	1	5	5	1	1	1	5	4	5	No, I participated before and answered the next set of questions.	38	Female	High school	Scottish	3.0	5.0	6.0	6.0	3.0	6.0	5.0	1.0	3.0	3.0	--	COPIED FROM: text id 412
round-4	fear	4521	2021/09/20 1:11:42 am EET	4f4dd88d52cd627c548e68f79074d659	1	1	1	1	1	1	1	1	1	1	1	5	my 5 week old daughter was rushed for a spinal tap after developing mottled skin.	my 5 week old daughter was rushed for a spinal tap after developing mottled skin.	minutes	days	5	5	5	1	1	1	5	5	5	1	1	4	1	5	1	5	5	1	5	1	5	1	5	Yes, first time, I will answer the following questions.	42	Female	High school	European	1.0	4.0	7.0	4.0	5.0	6.0	6.0	3.0	6.0	6.0	--	ORIGINAL
round-4	fear	4522	2021/09/20 1:13:25 am EET	a3dd5279bca73c6006a6a72b7cc52ddc	1	4	1	1	1	1	1	1	1	1	1	1	mobbing was used by people to intimidate me over social media.	mobbing was used by people to intimidate me over social media.	days	weeks	5	5	5	1	1	1	5	5	1	3	5	1	1	5	2	5	1	3	4	4	5	5	5	No, I participated before and answered the next set of questions.	23	Gender Variant/Non-Conforming	Undergraduate degree (BA/BSc/other)	North American	1.0	3.0	6.0	6.0	7.0	6.0	5.0	3.0	3.0	1.0	--	COPIED FROM: text id 4358
round-4	fear	4523	2021/09/20 1:25:49 am EET	1c6a8eb893404edeb58981b5f8b084bb	1	1	1	1	1	1	1	1	2	1	1	1	I felt fear when I had to own up to my dad about being very drunk	I felt ... when I had to own up to my dad about being very drunk	minutes	weeks	5	5	4	1	2	1	5	1	1	5	1	4	1	5	5	5	1	1	5	1	4	5	5	No, I participated before and answered the next set of questions.	22	Female	No formal qualifications	European	5.0	3.0	6.0	6.0	5.0	5.0	6.0	3.0	6.0	5.0	--	COPIED FROM: text id 4147
round-4	fear	4524	2021/09/20 1:32:01 am EET	aaa4210ea2d03a51e9694e4ebcb8870b	2	1	1	1	2	2	1	1	1	1	1	2	a neighbor's dog ran out into the road chasing me and my dog	a neighbor's dog ran out into the road chasing me and my dog	seconds	weeks	5	5	5	1	1	1	5	5	1	1	5	3	1	5	3	3	3	2	3	3	5	2	5	No, I participated before and answered the next set of questions.	47	Female	Graduate degree (MA/MSc/MPhil/other)	North American	2.0	5.0	6.0	7.0	3.0	7.0	7.0	2.0	5.0	3.0	--	COPIED FROM: text id 4101
round-4	fear	4525	2021/09/20 1:33:03 am EET	a58f95b5afd380c122fcfaf889f2ffda	1	1	1	1	1	3	1	1	1	1	1	1	I felt fear when a man followed me through a parking garage in my apartment building late at night.	I felt ... when a man followed me through a parking garage in my apartment building late at night.	minutes	weeks	5	5	5	2	1	1	5	4	1	1	5	3	1	5	3	4	1	1	5	5	5	5	5	No, I participated before and answered the next set of questions.	23	Female	Graduate degree (MA/MSc/MPhil/other)	North American	5.0	3.0	7.0	5.0	5.0	5.0	7.0	2.0	5.0	2.0	--	COPIED FROM: text id 41925
round-4	fear	4526	2021/09/20 1:33:56 am EET	cbc314a699457bb6b33270f2d8c06142	2	3	1	2	2	1	1	1	2	2	3	1	My 2 year old had a seizure	My 2 year old had a seizure	minutes	weeks	5	5	5	1	1	1	5	4	5	1	1	3	1	5	1	1	5	1	1	1	5	1	5	No, I participated before and answered the next set of questions.	27	Female	High school	White	1.0	6.0	3.0	7.0	5.0	7.0	7.0	6.0	2.0	3.0	--	COPIED FROM: text id 493
round-4	fear	4527	2021/09/20 1:35:43 am EET	fba2177fcf1c169dd45e575b55cad8d1	1	1	1	1	1	2	1	1	1	1	1	1	I had to give a big presentation	I had to give a big presentation	hours	days	4	4	1	3	5	3	2	5	1	4	4	4	4	4	5	3	1	5	1	1	5	4	5	No, I participated before and answered the next set of questions.	28	Female	Undergraduate degree (BA/BSc/other)	East Asian	5.0	2.0	7.0	7.0	6.0	6.0	6.0	2.0	6.0	5.0	--	COPIED FROM: text id 4826
round-4	fear	4529	2021/09/20 1:37:02 am EET	eb4eaaae3af26ea0db9796bf1601aa44	1	2	1	1	2	2	1	3	2	1	2	2	I was home alone and heard a noice	I was home alone and heard a noice	seconds	hours	5	5	4	4	4	1	5	2	5	2	1	4	1	1	1	1	5	2	4	1	3	5	2	No, I participated before and answered the next set of questions.	19	Male	High school	European	4.0	5.0	5.0	6.0	6.0	4.0	5.0	6.0	3.0	4.0	--	COPIED FROM: text id 4473
round-4	fear	4530	2021/09/20 1:37:52 am EET	14366586d6b6f0e68b7804df82efded5	1	2	1	1	1	2	2	1	1	1	1	1	I saw a cyclist get hit by a car.	I saw a cyclist get hit by a car.	seconds	minutes	4	3	5	3	2	1	5	2	4	1	5	1	1	3	2	4	4	3	2	1	3	2	2	Yes, first time, I will answer the following questions.	19	Male	High school	Australian/New Zealander	4.0	3.0	5.0	3.0	5.0	6.0	5.0	3.0	6.0	2.0	--	ORIGINAL
round-4	fear	4531	2021/09/20 1:38:13 am EET	1f2418794a56e5b8673694072380deb7	1	5	2	3	4	3	2	1	5	4	3	4	someone I was close to blocked me on everything	someone I was close to blocked me on everything	minutes	weeks	5	5	5	5	2	1	5	5	1	4	4	2	1	5	1	5	1	1	4	2	5	5	5	Yes, first time, I will answer the following questions.	18	Male	High school	European	1.0	3.0	5.0	6.0	4.0	7.0	7.0	4.0	5.0	5.0	--	ORIGINAL
round-4	fear	4532	2021/09/20 1:38:32 am EET	e8ea2ed954e70f4dc5bf09c124f57ede	1	2	1	1	1	1	1	1	2	1	1	1	when travelling on a countryside we drove over a pool of blood in the pitch dark	when travelling on a countryside we drove over a pool of blood in the pitch dark	seconds	minutes	5	5	5	1	2	1	4	2	5	1	3	1	1	1	1	4	3	4	1	2	5	5	2	No, I participated before and answered the next set of questions.	28	Female	Secondary education	European	1.0	4.0	2.0	5.0	5.0	7.0	7.0	6.0	2.0	1.0	--	COPIED FROM: text id 41909
round-4	fear	4533	2021/09/20 1:39:34 am EET	473cb889d5251e5d1db3426994eff442	1	1	1	1	1	1	1	1	1	1	1	1	My younger sister when I was a kid pushed me off our dock into a lake. Being afraid of touching anything at the bottom (any slimy plants, fish or trash) I couldn’t see, I was terrified when I first fell in, I started to sink and feel things with my feet. And the only way out of the lake was to go up a steep bank of mud and slimes plants, which I ended up having to go through while panicking and mad at my sister.	My younger sister when I was a kid pushed me off our dock into a lake. Being ... of touching anything at the bottom (any slimy plants, fish or trash) I couldn’t see, I was ... when I first fell in, I started to sink and feel things with my feet. And the only way out of the lake was to go up a steep bank of mud and slimes plants, which I ended up having to go through while panicking and mad at my sister.	minutes	hours	5	5	5	2	2	1	5	4	4	1	5	4	1	5	1	4	3	3	3	1	5	5	5	No, I participated before and answered the next set of questions.	22	Female	High school	European	2.0	5.0	6.0	6.0	5.0	7.0	5.0	1.0	4.0	1.0	--	COPIED FROM: text id 41449
round-4	fear	4534	2021/09/20 1:40:48 am EET	af32fd6b09ee9c483ca592f7b205430d	1	3	2	2	1	1	1	3	5	2	1	1	i was followed my whole journey home from work (on foot). i had changed route several times and was still being followed, i tried to walk in busy roads so people would notice but was still being followed (in a bad area of town).	i was followed my whole journey home from work (on foot). i had changed route several times and was still being followed, i tried to walk in busy roads so people would notice but was still being followed (in a bad area of town).	minutes	hours	5	5	3	1	1	1	5	2	5	1	5	5	1	5	1	5	4	1	5	5	5	4	3	No, I participated before and answered the next set of questions.	22	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	6.0	7.0	5.0	7.0	3.0	7.0	2.0	1.0	4.0	--	COPIED FROM: text id 41900
round-4	fear	4535	2021/09/20 1:41:26 am EET	d6bfb552f0707e92b2892080a1c5a9ca	1	3	1	1	1	2	1	1	1	1	1	1	One day about 2 years ago, my abdomen started to hurt really freaking bad, like a pain that I had never felt before.  It was so bad that I called my mom and drove myself to the ER because I thought maybe my appendix had burst.  My brother had it happen to him and he had to have an appendectomy and he said it hurt like hell.  I was extremely scared that that's what it was and I was going to have to have an appendectomy as well, but shortly after I got to the ER, the pain subsided and never came back.  I still have no idea what happened.	One day about 2 years ago, my abdomen started to hurt really freaking bad, like a pain that I had never felt before.  It was so bad that I called my mom and drove myself to the ER because I thought maybe my appendix had burst.  My brother had it happen to him and he had to have an appendectomy and he said it hurt like hell.  I was extremely ... that that's what it was and I was going to have to have an appendectomy as well, but shortly after I got to the ER, the pain subsided and never came back.  I still have no idea what happened.	hours	hours	5	5	5	1	1	1	5	4	5	1	1	1	1	5	1	1	5	1	1	1	5	4	5	No, I participated before and answered the next set of questions.	36	Male	Undergraduate degree (BA/BSc/other)	North American	1.0	6.0	5.0	4.0	4.0	7.0	2.0	1.0	2.0	5.0	--	COPIED FROM: text id 41413
round-4	fear	4537	2021/09/20 1:42:06 am EET	461fc2095480b5a1f942884d5e9ea5bb	1	2	1	3	2	5	4	5	2	3	4	5	I felt when my kid had her first asthma attack.	I felt when my kid had her first asthma attack.	minutes	weeks	5	5	5	5	2	1	5	1	5	1	1	4	1	5	4	3	5	1	2	1	5	1	5	Yes, first time, I will answer the following questions.	38	Female	Graduate degree (MA/MSc/MPhil/other)	White	6.0	4.5	5.8	5.5	5.3	5.2	4.2	2.7	3.2	3.3	--	AVERAGED: text id 4339, 4537, 4658, 4936, 41546, 41602
round-4	fear	4538	2021/09/20 1:43:14 am EET	7a2adaf93f8f0b58b59067df60e12e0d	2	2	2	2	1	2	2	2	2	3	3	2	I was stung by a wasp	I was stung by a wasp	seconds	hours	5	5	5	1	2	1	5	1	1	1	2	3	1	5	2	2	5	4	2	2	5	5	5	No, I participated before and answered the next set of questions.	31	Female	Undergraduate degree (BA/BSc/other)	European	2.0	6.0	7.0	2.0	2.0	4.0	5.0	1.0	6.0	6.0	--	COPIED FROM: text id 4429
round-4	fear	4539	2021/09/20 1:51:06 am EET	88de000c4daa6aa84250f96f0ae76dac	1	2	1	1	1	2	1	1	1	1	1	3	I was about 7 years old and I swam into the deep end of the pool. I didn't know how to swim well at the time, so I would sink and then kick off the bottom of the pool to gasp for air and then quickly sink again. I was scared that I would drown and no one would notice, but I eventually was able to kick myself back to the shallow end.	I was about 7 years old and I swam into the deep end of the pool. I didn't know how to swim well at the time, so I would sink and then kick off the bottom of the pool to gasp for air and then quickly sink again. I was ... that I would drown and no one would notice, but I eventually was able to kick myself back to the shallow end.	minutes	minutes	4	5	4	2	3	1	5	5	2	5	2	4	2	5	5	1	2	2	3	1	5	1	5	Yes, first time, I will answer the following questions.	21	Female	Undergraduate degree (BA/BSc/other)	Mixed white and east asian	3.0	3.0	5.0	4.0	5.0	5.0	6.0	4.0	5.0	3.0	--	ORIGINAL
round-4	fear	4600	2021/09/20 12:14:06 am EET	cd23a4feab2d0a07ff3da24e3b410d08	1	1	1	2	1	4	2	2	1	1	1	3	I felt fear when I had anxiety.	I felt ... when I had anxiety.	minutes	minutes	4	4	5	3	1	1	5	2	4	2	2	2	1	3	1	3	4	5	4	1	3	4	5	No, I participated before and answered the next set of questions.	21	Female	High school	North American	1.0	5.0	3.0	6.0	7.0	7.0	7.0	5.0	5.0	2.0	--	COPIED FROM: text id 4152
round-4	fear	4601	2021/09/20 12:45:46 am EET	d2d3a4fd6baf8b213200270e5486f738	1	2	1	2	1	4	3	1	1	1	1	3	I was sick with covid 19	I was sick with covid 19	days	days	4	4	5	2	1	1	5	4	5	1	3	4	2	5	1	1	3	3	2	1	4	4	5	Yes, first time, I will answer the following questions.	19	Female	Undergraduate degree (BA/BSc/other)	Hispanic/Latino	5.4	5.4	5.4	5.4	6.0	2.0	7.0	6.0	6.0	1.4	--	AVERAGED: text id 4186, 4212, 4332, 4601, 4669, 4847, 41121, 41239, 41385, 41559, 41910
round-4	fear	4602	2021/09/20 12:59:42 am EET	51e0d7c1c250f9d59ee8417cded48c6c	1	1	1	1	2	3	2	3	2	2	3	3	I felt fear at a point in my life when I thought I had lost everything I ever worked for	I felt ... at a point in my life when I thought I had lost everything I ever worked for	days	days	5	5	5	1	1	1	5	5	5	1	1	3	5	5	1	5	5	5	1	5	5	5	5	No, I participated before and answered the next set of questions.	38	Male	Graduate degree (MA/MSc/MPhil/other)	White	5.0	3.0	6.0	5.0	6.0	6.0	4.0	2.0	5.0	1.0	--	COPIED FROM: text id 4112
round-4	fear	4603	2021/09/20 1:06:06 am EET	155102d7ed2b054b51d8707b93f9a127	1	1	1	1	1	4	2	3	1	1	1	3	I felt FEAR when a colleague of mine at the organization who i had close contact with tested positive for Covid 19. I was so restless and nervous that i  had to go to the hospital to get myself tested and the results were negative	I felt ... when a colleague of mine at the organization who i had close contact with tested positive for Covid 19. I was so restless and nervous that i  had to go to the hospital to get myself tested and the results were negative	days	weeks	5	4	4	4	1	1	5	1	4	1	3	1	1	5	1	1	1	4	1	1	5	1	4	No, I participated before and answered the next set of questions.	35	Male	Graduate degree (MA/MSc/MPhil/other)	African	6.0	2.0	6.0	1.0	6.0	6.0	6.0	1.0	6.0	1.0	--	COPIED FROM: text id 41897
round-4	fear	4606	2021/09/20 1:25:28 am EET	1b68161f1d49dd516b0a97e6340032d7	2	2	2	2	2	4	4	3	2	1	4	3	I felt FEAR when I was about to go in to a last minute surgery with a doctor I didn't like and had complication with the anesthesia.	I felt ... when I was about to go in to a last minute surgery with a doctor I didn't like and had complication with the anesthesia.	hours	hours	5	5	5	3	2	1	5	5	1	2	4	2	5	4	1	5	4	2	2	1	2	5	5	No, I participated before and answered the next set of questions.	25	Female	Undergraduate degree (BA/BSc/other)	North American	5.0	7.0	6.0	4.0	5.0	3.0	3.0	2.0	4.0	2.0	--	COPIED FROM: text id 4397
round-4	fear	4607	2021/09/20 1:32:43 am EET	fba2177fcf1c169dd45e575b55cad8d1	1	1	1	1	1	1	1	1	1	1	1	1	A man followed me in a car	A man followed me in a car	minutes	days	5	5	4	5	3	1	5	3	1	1	5	3	1	5	1	5	1	1	5	5	5	5	4	No, I participated before and answered the next set of questions.	28	Female	Undergraduate degree (BA/BSc/other)	East Asian	5.0	2.0	7.0	7.0	6.0	6.0	6.0	2.0	6.0	5.0	--	COPIED FROM: text id 4826
round-4	fear	4608	2021/09/20 1:46:37 am EET	461fc2095480b5a1f942884d5e9ea5bb	1	2	1	2	3	5	4	5	2	3	4	5	I felt fear when I tried teaching my kid how to ride a bike for the first time, as she almost got hit my a moving vehicle.	I felt ... when I tried teaching my kid how to ride a bike for the first time, as she almost got hit my a moving vehicle.	seconds	days	5	5	4	3	1	1	5	4	2	4	4	2	4	4	2	4	2	5	1	4	5	5	5	No, I participated before and answered the next set of questions.	38	Female	Graduate degree (MA/MSc/MPhil/other)	White	6.0	4.5	5.8	5.5	5.3	5.2	4.2	2.7	3.2	3.3	--	AVERAGED: text id 4339, 4537, 4658, 4936, 41546, 41602
round-4	fear	4609	2021/09/20 1:46:39 am EET	08b6ee3a8bbb21c6032fece716abfd48	1	2	1	1	1	2	1	1	1	1	2	1	I was nearly hit by a car while commuting to work	I was nearly hit by a car while commuting to work	seconds	hours	4	4	4	3	1	1	5	4	4	2	5	1	2	5	1	5	5	2	4	4	5	4	4	Yes, first time, I will answer the following questions.	21	Male	High school	South Asian	4.0	2.5	5.0	2.5	6.0	5.0	4.0	3.5	5.0	4.0	--	AVERAGED: text id 4609, 41724
round-4	fear	4611	2021/09/20 1:48:38 am EET	5ea8c124cbe263175a016940365b9ccb	1	2	1	1	1	1	1	1	1	1	1	1	I felt fear when I found out I was loosing my baby boy because I didn’t want it to be true	I felt ... when I found out I was loosing my baby boy because I didn’t want it to be true	weeks	weeks	5	5	5	1	1	1	5	5	5	1	1	1	5	5	1	1	5	1	5	1	5	5	5	Yes, first time, I will answer the following questions.	29	Female	Graduate degree (MA/MSc/MPhil/other)	English	4.2	4.5	5.2	6.2	4.2	3.2	6.5	2.5	5.0	3.8	--	AVERAGED: text id 4409, 4611, 4633, 4713
round-4	fear	4612	2021/09/20 1:49:21 am EET	ac30cdca18b6df197eb1ea421d22852e	1	3	2	4	1	1	1	1	2	1	1	5	The coronavirus lockdown 3.0 was announced and it was for a longer period	The coronavirus lockdown 3.0 was announced and it was for a longer period	weeks	weeks	5	5	5	4	2	1	5	2	2	1	4	2	1	5	1	5	1	1	4	2	5	5	5	No, I participated before and answered the next set of questions.	23	Female	Undergraduate degree (BA/BSc/other)	European	5.0	2.0	7.0	5.0	4.0	5.0	6.0	1.0	4.0	1.0	--	COPIED FROM: text id 4436
round-4	fear	4613	2021/09/20 1:49:55 am EET	8cffb0b29bdc89c7190141c2ab939ac4	2	1	2	1	1	2	3	2	1	1	1	2	I felt fear when my wife fell off the stairs while we were on a visit to her friend's house. She got carried away and fell off the stairs. Fear gripped me when I saw her fall from the top to the bottom.	I felt ... when my wife fell off the stairs while we were on a visit to her friend's house. She got carried away and fell off the stairs. ... gripped me when I saw her fall from the top to the bottom.	minutes	hours	4	4	4	3	4	1	5	3	3	1	4	4	1	4	1	2	4	3	1	1	3	2	4	No, I participated before and answered the next set of questions.	29	Male	Doctorate degree (PhD/other)	European	6.0	2.0	4.0	6.0	5.0	6.0	7.0	3.0	6.0	2.0	--	COPIED FROM: text id 4116
round-4	fear	4614	2021/09/20 1:50:00 am EET	f52966aa53c6de1eea9111b7d0feaffb	1	2	1	1	1	1	1	1	1	1	1	1	My dog was let out and went missing for 3 days	My dog was let out and went missing for 3 days	days	days	5	5	5	1	1	1	5	5	5	1	5	2	1	5	4	5	5	1	5	1	5	5	5	No, I participated before and answered the next set of questions.	28	Female	Secondary education	British	3.0	5.0	6.0	5.0	7.0	5.0	7.0	3.0	1.0	5.0	--	COPIED FROM: text id 459
round-4	fear	4616	2021/09/20 1:51:10 am EET	a7226d1e5a4d68e7453486aed4ad5e18	2	3	2	4	4	3	2	2	4	1	1	1	when i lost my items on holiday becuase they where very important to me	when i lost my items on holiday becuase they where very important to me	days	days	5	5	5	2	4	2	5	3	4	3	4	3	3	3	3	4	2	4	4	1	4	5	5	Yes, first time, I will answer the following questions.	20	Female	Secondary education	European	4.3	5.2	4.4	5.5	4.5	6.1	5.4	2.2	2.4	2.1	--	AVERAGED: text id 4452, 4408, 4616, 4572, 4714, 4788, 4885, 4961, 4923, 4945, 41443, 41838
round-4	fear	4618	2021/09/20 1:53:21 am EET	7e7dc4499fa555ceafe948193258df31	1	1	1	1	1	1	1	1	1	1	1	1	I felt fear when I was alone in the dark.	I felt ... when I was alone in the dark.	minutes	minutes	3	3	3	3	5	2	2	1	1	2	2	4	1	2	2	2	1	5	1	1	3	1	2	No, I participated before and answered the next set of questions.	24	Female	High school	Hispanic/Latino	2.0	4.0	4.0	6.0	5.0	5.0	5.0	4.0	4.0	2.0	--	COPIED FROM: text id 41539
round-4	fear	4619	2021/09/20 1:54:19 am EET	68420290d6e5b0f79da491c1d3fd0e30	2	3	1	3	4	1	1	1	3	4	1	1	a family member was seriously ill and died.	a family member was seriously ill and died.	hours	weeks	5	5	5	1	1	1	5	3	5	2	2	4	1	5	1	1	5	1	3	1	5	5	5	Yes, first time, I will answer the following questions.	24	Female	Undergraduate degree (BA/BSc/other)	North American	3.0	5.0	4.0	6.0	5.0	2.0	2.0	3.0	2.0	6.0	--	ORIGINAL
round-4	fear	4620	2021/09/20 2:28:52 am EET	08a9bfb5b1336cb74ff3e2e356fcd500	1	2	1	1	1	1	1	1	1	1	1	1	of a sexual assault in college	of a sexual assault in college	minutes	weeks	4	3	3	1	1	1	5	2	2	1	5	2	1	3	2	4	1	3	5	5	5	5	4	Yes, first time, I will answer the following questions.	31	Female	Undergraduate degree (BA/BSc/other)	European	2.0	5.0	5.0	6.0	5.0	6.0	6.0	2.0	3.0	3.0	--	ORIGINAL
round-4	fear	4622	2021/09/20 12:38:05 am EET	c69a3bc4a3fabb3b56d7ed96e1478f8e	1	2	1	5	1	2	1	1	1	1	1	1	I was on a four hour flight I'm a nervous flyer.	I was on a four hour flight I'm a nervous flyer.	hours	hours	5	5	4	3	4	1	5	3	5	4	1	4	1	2	1	1	5	3	4	1	3	5	5	No, I participated before and answered the next set of questions.	28	Male	Undergraduate degree (BA/BSc/other)	European	1.0	1.0	5.0	1.0	4.0	1.0	5.0	1.0	5.0	1.0	--	COPIED FROM REJECTED: text id 41918
round-4	fear	4623	2021/09/20 12:57:55 am EET	c8044bbfa502fb17156cf7790696af59	1	1	1	1	1	2	1	1	3	1	1	1	Breaking up from a 10 year relationship and having no place to live,having no money for furniture, rent etc	Breaking up from a 10 year relationship and having no place to live,having no money for furniture, rent etc	weeks	weeks	5	5	4	1	3	1	5	5	5	1	4	4	2	4	3	3	2	1	4	1	5	4	5	No, I participated before and answered the next set of questions.	32	Female	Undergraduate degree (BA/BSc/other)	European	1.0	5.0	3.0	6.0	5.0	7.0	6.0	4.0	5.0	5.0	--	COPIED FROM REJECTED: text id 4256
round-4	fear	4624	2021/09/20 1:21:53 am EET	f52966aa53c6de1eea9111b7d0feaffb	1	3	1	1	1	1	1	1	1	1	1	1	I was totally lost in a foreign country	I was totally lost in a foreign country	hours	days	5	5	5	1	4	1	5	5	4	5	1	4	5	5	5	1	3	5	5	1	5	5	5	No, I participated before and answered the next set of questions.	28	Female	Secondary education	British	3.0	5.0	6.0	5.0	7.0	5.0	7.0	3.0	1.0	5.0	--	COPIED FROM: text id 459
round-4	fear	4625	2021/09/20 1:32:55 am EET	bdcfc520048489f68332d114bc6d0e3d	2	2	1	2	1	3	1	2	2	1	1	3	I felt fear when I entered a haunted house to see a clown staring at me in the middle of a room. I've had a fear of clowns since I was a little kid, and it makes me dread halloween sometimes.	I felt ... when I entered a haunted house to see a clown staring at me in the middle of a room. I've had a ... of clowns since I was a little kid, and it makes me ... halloween sometimes.	minutes	weeks	5	5	4	4	1	1	5	3	1	4	1	4	1	4	2	2	1	2	3	1	5	5	5	No, I participated before and answered the next set of questions.	21	Female	High school	North American	3.0	5.0	7.0	5.0	6.0	5.0	5.0	1.0	3.0	2.0	--	COPIED FROM: text id 41818
round-4	fear	4626	2021/09/20 1:36:02 am EET	aaa4210ea2d03a51e9694e4ebcb8870b	2	1	2	2	2	1	1	1	1	1	1	2	one of my children fell and cut open his lip and broke his front tooth	one of my children fell and cut open his lip and broke his front tooth	days	weeks	5	5	5	1	2	1	4	4	3	1	3	2	4	5	4	4	2	3	1	1	5	4	3	No, I participated before and answered the next set of questions.	47	Female	Graduate degree (MA/MSc/MPhil/other)	North American	2.0	5.0	6.0	7.0	3.0	7.0	7.0	2.0	5.0	3.0	--	COPIED FROM: text id 4101
round-4	fear	4628	2021/09/20 1:50:46 am EET	461fc2095480b5a1f942884d5e9ea5bb	1	2	1	3	2	4	5	4	3	2	5	4	I felt Fear when I got my first plane turbulence while travelling with my family.	I felt ... when I got my first plane turbulence while travelling with my family.	minutes	days	5	5	4	3	4	1	5	2	3	1	1	2	5	5	1	3	5	3	2	1	5	5	5	No, I participated before and answered the next set of questions.	38	Female	Graduate degree (MA/MSc/MPhil/other)	White	6.0	4.5	5.8	5.5	5.3	5.2	4.2	2.7	3.2	3.3	--	AVERAGED: text id 4339, 4537, 4658, 4936, 41546, 41602
round-4	fear	4629	2021/09/20 1:52:03 am EET	4cb01f3e2c11abb6fdfcddc9cd2ca2d4	1	3	1	1	1	4	1	1	1	1	1	4	I had a health scare	I had a health ...	weeks	weeks	5	5	5	1	1	1	5	5	5	1	1	1	1	5	1	5	5	1	1	1	5	5	5	No, I participated before and answered the next set of questions.	28	Female	High school	European	6.0	6.0	6.0	4.0	6.0	3.0	7.0	4.0	7.0	4.0	--	COPIED FROM: text id 41124
round-4	fear	4630	2021/09/20 1:52:42 am EET	f954e0453ab73867837d608461f49ad3	3	2	4	3	1	1	1	1	5	2	4	1	I thought that my relationship was falling apart.	I thought that my relationship was falling apart.	days	days	5	5	5	3	1	1	5	4	3	4	5	1	1	5	2	5	4	3	5	1	5	3	5	No, I participated before and answered the next set of questions.	32	Male	High school	North American	3.0	5.0	6.0	5.0	5.0	7.0	7.0	5.0	5.0	6.0	--	COPIED FROM: text id 4414
round-4	fear	4631	2021/09/20 1:53:20 am EET	f4878d85362bd80fed048c0e80b5059f	1	1	3	1	1	1	1	1	1	1	1	1	My father went insane in the 90's and I was an only child dealing with the madness in solitude.	My father went insane in the 90's and I was an only child dealing with the madness in solitude.	weeks	weeks	5	5	1	5	1	1	5	3	3	1	5	1	1	3	1	5	3	1	5	5	5	5	5	No, I participated before and answered the next set of questions.	37	Male	High school	European	1.0	7.0	7.0	2.5	7.0	5.5	3.5	2.5	3.0	1.0	--	AVERAGED: text id 4459, 4415
round-4	fear	4633	2021/09/20 1:54:03 am EET	5ea8c124cbe263175a016940365b9ccb	1	2	1	1	1	1	1	1	1	1	1	1	I felt fear when my partner became sick because I had no control over the situation	I felt ... when my partner became sick because I had no control over the situation	weeks	weeks	5	5	5	1	1	1	5	5	5	1	4	1	1	5	1	3	3	1	5	4	5	1	5	Yes, first time, I will answer the following questions.	29	Female	Graduate degree (MA/MSc/MPhil/other)	English	4.2	4.5	5.2	6.2	4.2	3.2	6.5	2.5	5.0	3.8	--	AVERAGED: text id 4409, 4611, 4633, 4713
round-4	fear	4634	2021/09/20 1:54:04 am EET	155102d7ed2b054b51d8707b93f9a127	1	1	1	1	1	3	1	1	1	1	1	3	I felt FEAR when i was first stopped by a cop when i was heading back home from school. I had heard stories from relatives and friends about the bad experience they got because of their skin color but to experience it firsthand was so fearfuI.	I felt ... when i was first stopped by a cop when i was heading back home from school. I had heard stories from relatives and friends about the bad experience they got because of their skin color but to experience it firsthand was so ....	weeks	weeks	5	5	4	4	1	1	5	1	1	1	5	1	1	1	1	4	1	1	3	4	4	4	4	No, I participated before and answered the next set of questions.	35	Male	Graduate degree (MA/MSc/MPhil/other)	African	6.0	2.0	6.0	1.0	6.0	6.0	6.0	1.0	6.0	1.0	--	COPIED FROM: text id 41897
round-4	fear	4635	2021/09/20 1:55:06 am EET	07668db6e3f93c0296c944b97824de1f	1	2	1	1	1	1	1	3	1	1	1	2	my dad got very very sick all of a sudden without any knowledge of what was wrong with him, he was immediately admitted into the hospital. My fear was that the doctors were not going to be able to find out what was wrong with my dad while his health was declining. I was fearful that they would not be able to help him in any way.	my dad got very very sick all of a sudden without any knowledge of what was wrong with him, he was immediately admitted into the hospital. My ... was that the doctors were not going to be able to find out what was wrong with my dad while his health was declining. I was ... that they would not be able to help him in any way.	days	weeks	5	5	5	1	1	1	5	5	5	1	1	3	1	5	1	4	4	2	4	1	5	1	5	Yes, first time, I will answer the following questions.	20	Female	High school	Australian/New Zealander	5.0	3.0	6.0	2.0	7.0	3.0	6.0	2.0	7.0	2.0	--	ORIGINAL
